Date,Open,High,Low,Close,Adj,Volume
6/26/2017,23.940001,24.120001,23.860001,24.02,23.516655,60302300
6/27/2017,24.110001,24.32,24.049999,24.139999,23.634144,75943400
6/28/2017,24.299999,24.559999,24.280001,24.52,24.006182,90097600
6/29/2017,25.02,25.02,24.51,24.690001,24.172619,119176700
6/30/2017,24.870001,24.879999,24.620001,24.67,24.153036,72754900
7/3/2017,24.809999,25.190001,24.780001,25.030001,24.505493,61452900
7/5/2017,25.1,25.129999,24.92,25.07,24.544655,78100200
7/6/2017,25.059999,25.17,24.879999,24.879999,24.358633,97648100
7/7/2017,25.01,25.1,24.879999,25.049999,24.525072,59432400
7/10/2017,25.01,25.08,24.93,25.02,24.495703,55022500
7/11/2017,25,25.01,24.73,24.799999,24.28031,49857200
7/12/2017,24.799999,24.9,24.73,24.879999,24.358633,47818600
7/13/2017,24.879999,25.030001,24.860001,25.030001,24.505493,48875900
7/14/2017,24.719999,24.959999,24.59,24.92,24.397799,61742300
7/17/2017,24.85,24.9,24.74,24.84,24.319473,43257000
7/18/2017,24.67,24.84,24.639999,24.799999,24.28031,63210700
7/19/2017,24.85,24.92,24.719999,24.809999,24.2901,48259400
7/20/2017,24.83,24.940001,24.75,24.799999,24.28031,40163500
7/21/2017,24.73,24.879999,24.73,24.799999,24.28031,39108400
7/24/2017,24.790001,24.940001,24.790001,24.91,24.388006,26364800
7/25/2017,25.190001,25.32,25.15,25.219999,24.691511,75786800
7/26/2017,25.25,25.290001,24.99,25.049999,24.525072,56086500
7/27/2017,25.1,25.110001,24.799999,24.91,24.388006,67826200
7/28/2017,24.870001,24.98,24.77,24.91,24.388006,43735800
7/31/2017,25,25.18,24.969999,25.09,24.564236,43039300
8/1/2017,25.26,25.290001,25.139999,25.27,24.740463,60987500
8/2/2017,25.299999,25.33,25.18,25.309999,24.779623,43341500
8/3/2017,25.27,25.309999,25.18,25.219999,24.691511,40816800
8/4/2017,25.450001,25.49,25.34,25.389999,24.857948,50792900
8/7/2017,25.389999,25.4,25.309999,25.35,24.818787,39486800
8/8/2017,25.309999,25.59,25.27,25.280001,24.750254,52736500
8/9/2017,25.07,25.299999,25.07,25.280001,24.750254,46567000
8/10/2017,25.120001,25.18,24.83,24.83,24.309683,71130300
8/11/2017,24.83,24.959999,24.67,24.73,24.211779,50477800
8/14/2017,24.93,25.139999,24.92,25.07,24.544655,49472900
8/15/2017,25.280001,25.309999,25.09,25.09,24.564236,48535000
8/16/2017,25.200001,25.24,25,25.040001,24.515282,35084100
8/17/2017,24.98,25.02,24.6,24.610001,24.094294,76613100
8/18/2017,24.49,24.799999,24.48,24.620001,24.104084,71725900
8/21/2017,24.6,24.629999,24.450001,24.549999,24.035551,45047200
8/22/2017,24.65,24.84,24.620001,24.82,24.299892,42644000
8/23/2017,24.639999,24.879999,24.620001,24.74,24.221569,36612700
8/24/2017,24.85,24.85,24.690001,24.74,24.221569,31067200
8/25/2017,24.790001,24.92,24.780001,24.809999,24.2901,37177300
8/28/2017,24.83,24.84,24.59,24.65,24.133453,36486900
8/29/2017,24.370001,24.610001,24.35,24.57,24.05513,42814200
8/30/2017,24.610001,24.780001,24.59,24.67,24.153036,35176100
8/31/2017,24.75,24.780001,24.620001,24.700001,24.182407,44225200
9/1/2017,24.73,24.91,24.67,24.77,24.250942,42132600
9/5/2017,24.58,24.620001,24.17,24.24,23.732046,96579200
9/6/2017,24.33,24.42,24.219999,24.299999,23.790791,77593900
9/7/2017,24.34,24.360001,23.790001,23.879999,23.379591,87667800
9/8/2017,23.9,24.190001,23.85,24.1,23.594982,68639500
9/11/2017,24.379999,24.59,24.33,24.52,24.006182,72524500
9/12/2017,24.610001,24.83,24.59,24.809999,24.2901,66350600
9/13/2017,24.77,24.860001,24.68,24.85,24.329264,51049400
9/14/2017,24.860001,24.92,24.75,24.799999,24.28031,47163200
9/15/2017,24.66,24.790001,24.629999,24.77,24.352081,59250200
9/18/2017,24.860001,25.07,24.84,25.059999,24.63719,44010400
9/19/2017,25.059999,25.309999,25.02,25.25,24.823982,58443300
9/20/2017,25.27,25.49,25.15,25.4,24.971451,70595500
9/21/2017,25.34,25.52,25.32,25.459999,25.030437,51050100
9/22/2017,25.360001,25.459999,25.290001,25.43,25.000944,42306600
9/25/2017,25.4,25.49,25.23,25.4,24.971451,39774600
9/26/2017,25.440001,25.48,25.32,25.389999,24.96162,46811000
9/27/2017,25.709999,25.83,25.6,25.700001,25.266392,65919100
9/28/2017,25.790001,25.799999,25.610001,25.74,25.305716,37718900
9/29/2017,25.74,25.860001,25.700001,25.860001,25.423691,42740800
10/2/2017,25.809999,26.08,25.809999,26.08,25.639978,52774000
10/3/2017,26.059999,26.17,26.01,26.17,25.728458,48062900
10/4/2017,26.1,26.18,26.040001,26.049999,25.610483,39283800
10/5/2017,26.08,26.41,26.01,26.32,25.875929,61260400
10/6/2017,26.389999,26.459999,26.209999,26.35,25.905424,66077800
10/9/2017,26.42,26.42,26.190001,26.25,25.80711,31340200
10/10/2017,26.290001,26.370001,26.219999,26.370001,25.925087,35822500
10/11/2017,26.309999,26.35,26.209999,26.32,25.875929,33748600
10/12/2017,26.389999,26.4,26.09,26.120001,25.679304,53834800
10/13/2017,25.99,26.219999,25.889999,26.129999,25.689133,69561400
10/16/2017,26.15,26.309999,26.139999,26.299999,25.856266,42000700
10/17/2017,26.389999,26.4,26.110001,26.17,25.728458,37844200
10/18/2017,26.280001,26.35,26.17,26.309999,25.866096,52201500
10/19/2017,26.120001,26.34,26.08,26.33,25.885761,34671600
10/20/2017,26.610001,26.66,26.52,26.639999,26.190529,56083800
10/23/2017,26.65,26.700001,26.559999,26.620001,26.170868,43555200
10/24/2017,26.709999,26.860001,26.690001,26.809999,26.357662,61259200
10/25/2017,26.889999,26.92,26.5,26.65,26.200359,68653500
10/26/2017,26.75,26.92,26.75,26.799999,26.34783,41832600
10/27/2017,26.75,26.83,26.610001,26.780001,26.328167,56694400
10/30/2017,26.75,26.790001,26.6,26.67,26.220024,48157500
10/31/2017,26.67,26.77,26.57,26.6,26.151205,39890800
11/1/2017,26.709999,26.83,26.610001,26.639999,26.190529,40921900
11/2/2017,26.67,26.93,26.540001,26.889999,26.436312,51098300
11/3/2017,26.799999,26.82,26.700001,26.780001,26.328167,42387000
11/6/2017,26.709999,26.799999,26.66,26.75,26.298674,33642100
11/7/2017,26.77,26.85,26.309999,26.379999,25.934916,70325500
11/8/2017,26.33,26.34,26.16,26.25,25.80711,55844900
11/9/2017,26.08,26.25,25.889999,26.16,25.718628,94577000
11/10/2017,26.18,26.23,26.059999,26.08,25.639978,53209600
11/13/2017,25.92,26.18,25.9,26.120001,25.679304,50579200
11/14/2017,26.02,26.120001,25.93,26.110001,25.669472,54101800
11/15/2017,25.879999,26.27,25.860001,26.18,25.738291,64952300
11/16/2017,26.299999,26.360001,26.17,26.190001,25.748121,53648100
11/17/2017,26.059999,26.219999,26.030001,26.16,25.718628,41938700
11/20/2017,26.209999,26.32,26.129999,26.280001,25.836605,35232400
11/21/2017,26.370001,26.4,26.299999,26.360001,25.915257,35972400
11/22/2017,26.360001,26.43,26.23,26.23,25.787449,30959400
11/24/2017,26.33,26.379999,26.200001,26.219999,25.777617,12172500
