Ticker,Name,Price,Dividend Yield,Market Cap ($M),P/E Ratio,Payout Ratio
AACAF,AAC Technologies Holdings Inc.,$6.57 ,0.00%,"$8,317 ",11.5,0.00%
AACAY,AAC Technologies Holdings Inc.,$6.69 ,1.50%,"$8,317 ",11.7,17.60%
AAPL,Apple Inc.,$178.92 ,1.60%,"$839,841 ",16.2,26.80%
ABT.TO,Absolute Software Corporation,$7.99 ,3.90%,$329 ,72.6,283.30%
ACKAY,Aráelik Anonim Sirketi,$14.30 ,5.50%,"$1,892 ",,
ACN,Accenture plc Class A (Ireland),$157.35 ,1.80%,"$101,536 ",23.7,43.50%
ADI,Analog Devices Inc.,$89.07 ,2.20%,"$33,086 ",15.2,32.80%
ADTN,ADTRAN Inc.,$12.61 ,2.90%,$598 ,-57.3,-164.40%
ADTTF,Advantest Corporation,$19.50 ,1.60%,"$3,721 ",9.8,16.10%
AELTF,Adacel Technologies Limited,$0.62 ,5.30%,$46 ,7.8,41.30%
AEXAY,AEXAY - Atos SE,$15.78 ,2.40%,"$8,479 ",11.5,27.60%
ALMFF,Altium Limited,$16.94 ,1.20%,"$2,409 ",58.8,71.20%
ALOT,AstroNova Inc.,$19.16 ,1.60%,$123 ,,
ALSWF,Absolute Software Corporation,$5.99 ,3.90%,$247 ,53.5,208.60%
ALTKY,Altran Technologies S.A.,$0.97 ,3.40%,"$2,628 ",18.6,63.00%
AMADF,"Amadeus IT Group, S.A.",$76.22 ,1.60%,"$33,469 ",26.6,41.80%
AMADY,"Amadeus IT Group, S.A.",$72.27 ,2.00%,"$31,564 ",25.2,50.10%
AMAT,Applied Materials Inc.,$35.82 ,2.20%,"$35,162 ",8.1,18.20%
AMOT,Allied Motion Technologies Inc.,$46.20 ,0.30%,$420 ,26,7.00%
AMSWA,American Software Inc. Class A Common Stock,$10.57 ,4.20%,$321 ,16.3,68.90%
APELY,"Alps Electric Co., Ltd.",$44.16 ,0.00%,"$4,337 ",11.9,0.00%
APH,Amphenol Corporation,$84.88 ,1.10%,"$25,363 ",23.6,25.80%
ARLUF,Aristocrat Leisure Limited,$18.60 ,1.60%,"$12,142 ",32.1,51.00%
ASMIY,ASM International NV,$41.11 ,2.30%,"$2,051 ",5.9,13.40%
ASML,ASML Holding N.V.,$164.97 ,0.90%,"$68,817 ",24.2,21.60%
ASMLF,ASML Holding N.V.,$163.75 ,1.00%,"$67,139 ",23.5,23.80%
ASMVF,ASM Pacific Technology Limited,$9.41 ,0.00%,"$3,898 ",12.2,0.00%
ASMVY,ASM Pacific Technology Limited,$27.74 ,3.50%,"$3,779 ",12,42.30%
ASOZF,ASSECO POLAND SA,$11.81 ,0.00%,$,,
ASOZY,Asseco Poland S.A.,$10.99 ,7.60%,$998 ,5.6,42.70%
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two),$3.60 ,0.00%,"$7,620 ",8.4,0.00%
ATDRY,Auto Trader Group plc,$1.33 ,1.00%,"$5,036 ",21.5,22.30%
ATEYY,Advantest Corporation,$19.36 ,4.50%,"$3,620 ",9.8,43.60%
ATVI,Activision Blizzard Inc,$50.19 ,0.70%,"$37,588 ",22.3,15.40%
AUKUF,ams AG,$25.50 ,0.00%,"$2,142 ",10.8,0.00%
AVEVF,AVEVA Group plc,$35.35 ,1.90%,"$5,129 ",57,105.50%
AVGO,Broadcom Inc.,$229.83 ,3.10%,"$94,146 ",13,40.10%
AVT,Avnet Inc.,$42.99 ,1.90%,"$4,676 ",12.6,24.10%
AVX,AVX Corporation,$16.04 ,2.90%,"$2,662 ",19.6,57.10%
AYI,Acuity Brands Inc (Holding Company),$122.97 ,0.40%,"$4,867 ",15,6.50%
BBOX,Black Box Corporation,$1.06 ,0.00%,$16 ,,
